Name,Units,Calories,Calories From Fat,Total Fat,Saturated Fat,Trans Fat,Cholesterol,Sodium,Total Carbs,Dietary Fiber,Total Sugars,Added Sugars,Protein,Potassium,Comments
eggplant parmigiana,1 serving,318.4,57.1,15.3,7.6,0,66,336.1,28.9,2.8,4.5,0,17.9,422.4,
eggplant parmigiana total recipe,8 servings,2547,457,122,61,0,528,2689,231,22.4,35.8,0,143,3379,
eggplant parmigiana total recipe,8 servings,2547,457,122,61,0,528,2689,231,22.4,35.8,0,143,3379,
elbow macaroni,1 cup (2 oz),200,0,1,0,0,0,0,42,2,2,0,7,94,
extreme wellness spinach wrap,1 tortilla,50,0,1.5,0,0,0,310,15,11,0,0,5,19,
filet mignon,3 oz,227,131,15,5.7,0,82,46,0,0,0,0,22,280,
fish sticks - gortons,1 each,120,0,6,0.5,0,12.5,300,12.5,0.5,0.5,0,4.5,85,gorton's fish fillets
french fries publix restaurant style,3 oz 33 pieces,130,0,6,1,0,0,530,20,1,0,0,1,240,
fried butterfly shrimp,6 shrimp,210,0,10,1,0,60,480,20,1,2,0,10,162,
fried chicken leg - publix,1 leg,290,0,13,4,0,170,520,11,0,0,0,16,158,
fried chicken thigh - publix,1 thigh,260,0,19,0,0,65,570,5,0,0,0,13,165,
fried chicken wing - publix,1 wing,240,0,16,4,0,70,620,12,0.5,0.5,0,13,158,
fudge bar mayfield,1 bar,100,0,0.25,0,0,0,80,21,0.5,17,0,3.5,270,
fudgsicle pops no sugar added,2 pops,80,15,2,1,0,5,90,18,4,5,5,3,0,
garlic clove,1 clove,4.5,0.1,0,0,0,0,0.5,1,0.1,0,0,0.2,12,
grapes,10 grapes,34,0.7,0.1,0,0,0,1,8.9,0.4,7.6,0,0.4,94,
green beans,1/2 cup,20,0,0,0,0,0,10,3,1,1,0,1,96,
green beans no salt added,1 can,20,0,0,0,0,0,10,3,1,1,0,1,100,
green pepper,1 large,32.8,2.3,0.3,0.1,0,0,4.9,7.6,2.8,3.9,0,1.4,287,
grilled chicken,3 oz,126,26,2.9,0.9,0,90,183,0,0,0,0,25,357,
grilled chicken thigh w/ skin,1 large,206,50,13,3.6,0,77,341,0,0,0,0,21,185,
grilled chicken thigh w/ skin,1 medium,152,35,9.5,2.7,0,57,252,0,0,0,0,15.4,136,
grilled chicken thigh wo/ skin,1 large,145,33,7.6,2.1,0,66,287,0,0,0,0,18,165,
grilled chicken thigh wo/ skin,1 medium,108,30,5.6,1.6,0,49,213,0,0,0,0,13.4,123,
haddock fish,3 oz,74,6,0.6,0.1,0,59,58,0,0,0,0,16,264,
hamburger,4 oz,280,200,22,9,0,80,75,0,0,0,0,19,321,
hamburger bun,1 each,150,0,2.5,0,0,10,210,26,0,5,4,5,80,
hamburger noodle skillet,1 cup,160,67,9.3,3.7,0,37,38,10,0.7,1.4,0.3,8.6,145,
hamburger noodle skillet total,12 cups,1925,801,112,44,0,449,461,119,8.8,16.5,4,103,1738,
